id,lemma,vprašanje,odgovor,vrsta,podvrsta,split
507351,resorbiran,Prikaži vse tri stopnje besede resorbiran.,"Stopnjevanje besede **resorbiran**:

| Stopnja | Oblika |
|---|---|
| 1. Osnovnik (Pozitiv) | resorbirane / resorbirano / resorbiranimi / resorbiranih / resorbiranega / resorbiranim / resorbiranemu / resorbirani / resorbirana / resorbiran / resorbiranima / resorbiranem |
| 2. Primernik (Komparativ) | resorbiran |
| 3. Presežnik (Superlativ) | resorbiran |",stopnjevanje,vse_stopnje,train
513124,razbristriti,Ali je glagol razbristriti dovršni ali nedovršni?,Beseda **razbristriti** je dovršni glagol.,besedna_vrsta,vrsta_in_vid_glagola,train
523489,brozina,V kateri spol razvrstimo samostalnik brozina?,Samostalnik **brozina** je moškega spola.,besedna_vrsta,spol_samostalnika,train
46462,abiturient,"Izpiši nekaj povedi, ki vsebujejo besedo abiturient.","Primeri uporabe besede **abiturient** v povedih:
- *Razlage naj bi bile razumljive abiturientom gimnazije.*",primeri_uporabe,povedi_z_besedo,train
8032,sinhronizirati,Kako se glasijo neosebne oblike pri glagolu sinhronizirati?,"Neosebne in posebne oblike glagola **sinhronizirati**:
- Nedoločnik: **sinhronizirati**
- Namenilnik: **sinhronizirat**
",spreganje,neosebne_oblike,train
448263,disambiguirati,Prikaži spreganje po osebah za glagol disambiguirati.,"Spreganje glagola **disambiguirati**:

### Sedanjik
| Oseba | Ednina | Dvojina | Množina |
|---|---|---|---|
| 1. oseba | disambiguiram | disambiguirava | disambiguiramo |
| 2. oseba | disambiguiraš | disambiguirata | disambiguirate |
| 3. oseba | disambiguira | disambiguirata | disambiguirajo |

### Preteklik
| Oseba | Ednina | Dvojina | Množina |
|---|---|---|---|
| 1. oseba | sem disambiguiral / sem disambiguiralo | sva disambiguirali / sva disambiguirala | smo disambiguirali / smo disambiguirala |
| 2. oseba | si disambiguiral / si disambiguiralo | sta disambiguirali / sta disambiguirala | ste disambiguirali / ste disambiguirala |
| 3. oseba | je disambiguiral / je disambiguiralo | sta disambiguirali / sta disambiguirala | so disambiguirali / so disambiguirala |",spreganje,celotno_spreganje,train
487765,statutarnopraven,Navedi imenovalniško obliko besede statutarnopravno.,Osnovna oblika (lema) besede **statutarnopravno** je **statutarnopraven** (pridevnik).,sklanjanje,osnovna_oblika_leme,train
35639,tajen,Navedi število in kratek opis pomenov besede tajen.,"Beseda **tajen** ima registrirana 5 pomenov:
1. Kar je tajno, je skrito, pogosto prepovedano.
2. Informacija, ki je tajna, je uradno zaupna.
3. Kar je tajno, je znano le malo ljudem, ki tega ne povedo ali pokažejo nikomur drugemu.
4. Dejanje, ki je tajno, je izvedeno na skrivaj.
5. Dejavnosti, ki so tajne, se v državi, v kateri politična opozicija ni dovoljena, dogajajo na skrivaj in so uperjene proti vladi.",pomen,stevilka_pomenov,train
697793,možnar,Razvrsti in naštej pomene besede možnar.,"Pomeni besede **možnar** so:
- Možnar je kratek top, iz katerega streljamo izstrelke visoko v zrak na kratke razdalje.",pomen,nastevanje_pomenov,train
49646,bloger,V katerem sklonu/obliki je beseda bloger v povedi 'Je najbolj bran slovenski bloger in marsikje tudi ‘bloger leta’.'?,"V povedi *""Je najbolj bran slovenski bloger in marsikje tudi ‘bloger leta’.""* nastopa beseda **bloger** kot pregibna oblika (MSD: Somei) besede *bloger*.",primeri_uporabe,analiza_oblike_v_povedi,train
22736,likvidnosten,Katera beseda v osnovni obliki predstavlja obliko likvidnostni?,Osnovna oblika (lema) besede **likvidnostni** je **likvidnosten** (pridevnik).,sklanjanje,osnovna_oblika_leme,train
485985,samoučinkovitost,Določi sklon in število za obliko samoučinkovitosti (lema samoučinkovitost).,"Oblika **samoučinkovitosti** pri besedi *samoučinkovitost* izraža:
- 2. Rodilnik (dvojine)",sklanjanje,analiza_oblike,train
8192,smejati,Izpiši 8 kolokacij besede smejati.,"Izpis 8 kolokacij za besedo **smejati**:
1. začeti smejati se
2. ljudje se smejijo
3. veliko se smejati
4. rad se smejati
5. glasno se smejati
6. smejati se na glas
7. smejati se šalam
8. smejati se na račun",kolokacije,stevilsko_opredeljene_kolokacije,train
60642,intrigantstvo,V katero vrsto besed uvrščamo besedo intrigantstvo?,Beseda **intrigantstvo** je samostalnik. Beseda je občno ime in je srednjega spola.,besedna_vrsta,osnovne_lastnosti,train
452159,kvietistka,Kako se beseda kvietistka sklanja v množini?,"Sklanjatvene oblike besede **kvietistka** v množini:

| Sklon | Množina |
|---|---|
| 1. Imenovalnik | kvietistke |
| 2. Rodilnik | kvietistk |
| 3. Dajalnik | kvietistkam |
| 4. Tožilnik | kvietistke |
| 5. Mestnik | pri kvietistkah |
| 6. Orodnik | s kvietistkami |",sklanjanje,sklanjatev_po_stevilu,train
65937,kronologija,Poišči sopomenke za kronologija.,"Sopomenke besede **kronologija** so:
- časovna preglednica
- kronološka ureditev",sopomenke,navedi_sopomenke,train
77272,pehota,Kako se beseda pehota pojavlja v besedilnem kontekstu?,"Primeri uporabe besede **pehota** v povedih:
- *Pred začetkom bitke so topovi stali pred linijami pehote.*
- *Pehoto je sestavljalo 144 linijskih polkov.*
- *Dolga kolona se je premaknila: ob straneh je v dveh vrstah korakala konjenica, v sredini pa pehota.*
- *Od tega trenutka se je razlika med turistično pehoto in elito, ki se je v pristanišču zdela velikanska, zmanjšala samo na vsoto, ki bo položena na igralno mizo.*
- *""Pehota"" začne romanje ob dveh ali treh zjutraj, okrog osme pa je že na pašnikih.*",primeri_uporabe,povedi_z_besedo,train
693937,makius,Sklanjaj besedo makius samo v množini.,"Sklanjatvene oblike besede **makius** v množini:

| Sklon | Množina |
|---|---|
| 1. Imenovalnik | makiusi |
| 2. Rodilnik | makiusov |
| 3. Dajalnik | makiusom |
| 4. Tožilnik | makiuse |
| 5. Mestnik | pri makiusih |
| 6. Orodnik | z makiusi |",sklanjanje,sklanjatev_po_stevilu,train
474363,lurdski,Izpiši stopnjevalni vzorec za besedo lurdski.,"Stopnjevanje besede **lurdski**:

| Stopnja | Oblika |
|---|---|
| 1. Osnovnik (Pozitiv) | lurdske / lurdska / lurdskima / lurdskim / lurdskih / lurdskem / lurdski / lurdskimi / lurdskega / lurdsko / lurdskemu |
| 2. Primernik (Komparativ) | lurdski |
| 3. Presežnik (Superlativ) | lurdski |",stopnjevanje,vse_stopnje,train
513505,reteritorializirati,Ali je glagol reteritorializirati dovršni ali nedovršni?,Beseda **reteritorializirati** je dvovidski glagol.,besedna_vrsta,vrsta_in_vid_glagola,train
14465,bodeč,Koliko pomenov ima beseda bodeč?,"Beseda **bodeč** ima registrirana 3 pomene:
1. Moška brada, ki je bodeča, je poraščena s kocinami, ker že nekaj časa ni bila obrita.
2. Rastlina, ki je bodeča, ima na svoji površini veliko ostrih konic.
3. Kar je bodeče, ima ostre konice.",pomen,stevilka_pomenov,train
453535,retrogradacija,Izpiši soznačilne besede za retrogradacija.,"Sopomenke besede **retrogradacija** so:
- nazadovanje
- retrogradno gibanje",sopomenke,navedi_sopomenke,train
95041,uradništvo,Katera je ustrezna oblika za 5. Mestnik sklon ednine besede uradništvo?,5. Mestnik (mestnik) ednine besede **uradništvo** se glasi: **pri uradništvu**.,sklanjanje,posamezen_sklon,train
52569,debelost,Katero slovnično obliko izraža beseda debelost v stavku: 'Preveč sladkorja v prehrani lahko povzroča debelost.'?,"V povedi *""Preveč sladkorja v prehrani lahko povzroča debelost.""* nastopa beseda **debelost** kot pregibna oblika (MSD: Sozet) besede *debelost*.",primeri_uporabe,analiza_oblike_v_povedi,train
87585,satanist,Prikaži številčni seznam 3 kolokacij besede satanist.,"Izpis 3 kolokacij za besedo **satanist**:
1. satanisti uporabljajo
2. satanisti imajo
3. mladi satanisti",kolokacije,stevilsko_opredeljene_kolokacije,train
8400,spotikati,Opiši posebne glagolske oblike za spotikati.,"Neosebne in posebne oblike glagola **spotikati**:
- Nedoločnik: **spotikati**
- Namenilnik: **spotikat**
",spreganje,neosebne_oblike,train
514182,terjančiti,Izpiši neosebne oblike glagola terjančiti.,"Neosebne in posebne oblike glagola **terjančiti**:
- Nedoločnik: **terjančiti**
- Namenilnik: **terjančit**
",spreganje,neosebne_oblike,train
98205,zanimanje,Naštej leksikalne pomene za besedo zanimanje.,"Pomeni besede **zanimanje** so:
- Če imaš zanimanje za nekaj, želiš izvedeti ali slišati več o tem.",pomen,nastevanje_pomenov,train
12793,le,Kako se beseda le uporablja v stavkih?,"Primeri uporabe besede **le** v povedih:
- *Oseba govori lepo, vendar le malo pretiho.*
- *Oseba govori lepo, vendar le malo pretiho, tako da njene besede niso dovolj slišne in razumljive.*
- *Oseba govori lepo, vendar je njegov glas le malo pretiho.*
- *Oseba govori lepo, toda njegov glas je le malo pretiho.*
- *Prosim, vzemi le en kos izdelka.*",primeri_uporabe,povedi_z_besedo,train
59088,helebardir,Izpiši vse sklanjatvene oblike besede helebardir v množini.,"Sklanjatvene oblike besede **helebardir** v množini:

| Sklon | Množina |
|---|---|
| 1. Imenovalnik | helebardirji |
| 2. Rodilnik | helebardirjev |
| 3. Dajalnik | helebardirjem |
| 4. Tožilnik | helebardirje |
| 5. Mestnik | pri helebardirjih |
| 6. Orodnik | / |",sklanjanje,sklanjatev_po_stevilu,train
92460,svetnica,Določi spol samostalnika svetnica.,Samostalnik **svetnica** je ženskega spola.,besedna_vrsta,spol_samostalnika,train
545504,kjer,Navedi vse pomene besede kjer.,"Pomeni besede **kjer** so:
- izraža nedoločen, poljuben kraj
- za izražanje kraja, na katerem se dejanje dogaja
- Z izrazom kjer določimo ali govorimo o kraju, v katerem nekaj je ali se tam dogaja.
- Izraz kjer uporabimo tedaj, ko govorimo ali vprašamo po določenih okoliščinah, stopnji ali vidiku nečesa.",pomen,nastevanje_pomenov,train
26349,nocojšnji,Navedi tipične kolokacije z besedo nocojšnji.,"Tipične kolokacije z besedo **nocojšnji**:
- nocojšnja tekma
- Nocojšnji koncert
- Nocojšnji večer
- Nocojšnja oddaja
- nocojšnji obračun
- nocojšnje srečanje
- nocojšnji dvoboj
- Nocojšnja premiera
- nocojšnji tekmec
- nocojšnji nasprotnik",kolokacije,navedi_kolokacije,train
720577,thiebaud,"Ali je samostalnik thiebaud moškega, ženskega ali srednjega spola?",Samostalnik **thiebaud** je moškega spola.,besedna_vrsta,spol_samostalnika,train
688714,kuloar,Sestavi sklanjatveno tabelo za besedo kuloar.,"Sklanjatvena tabela za samostalnik **kuloar**:

| Sklon | Ednina | Dvojina | Množina |
|---|---|---|---|
| 1. Imenovalnik | kuloar | kuloarja | / |
| 2. Rodilnik | kuloarja | kuloarjev | kuloarjev |
| 3. Dajalnik | kuloarju | kuloarjema | kuloarjem |
| 4. Tožilnik | kuloarja | kuloarja | kuloarje |
| 5. Mestnik | pri kuloarju | pri kuloarjih | pri kuloarjih |
| 6. Orodnik | s kuloarjem | s kuloarjema | / |",sklanjanje,celotna_sklanjatev,train
366,artikulirati,"Analiziraj rabo besede artikulirati v povedi: 'Jasno se mora artikulirati skupno stališče, kaj si sploh želimo.'.","V povedi *""Jasno se mora artikulirati skupno stališče, kaj si sploh želimo.""* nastopa beseda **artikulirati** kot pregibna oblika (MSD: Ggvn) besede *artikulirati*.",primeri_uporabe,analiza_oblike_v_povedi,train
625527,neftis,Kakšna je osnovna oblika besede neftisoma?,Osnovna oblika (lema) besede **neftisoma** je **neftis** (samostalnik).,sklanjanje,osnovna_oblika_leme,train
509572,deanagramirati,Kako se glasi velelnik glagola deanagramirati?,"Neosebne in posebne oblike glagola **deanagramirati**:
- Nedoločnik: **deanagramirati**
- Namenilnik: **deanagramirat**
",spreganje,neosebne_oblike,train
5386,pomencati,Opiši vid in vrsto glagola pomencati.,Beseda **pomencati** je dovršni glagol.,besedna_vrsta,vrsta_in_vid_glagola,train
7462,razjasniti,Kakšnega vida je glagol razjasniti?,Beseda **razjasniti** je dovršni glagol.,besedna_vrsta,vrsta_in_vid_glagola,train
38843,zavezniški,Analiziraj rabo besede zavezniških v povedi: 'Zdaj je general in vrhovni poveljnik Natovih zavezniških sil v Belgiji.'.,"V povedi *""Zdaj je general in vrhovni poveljnik Natovih zavezniških sil v Belgiji.""* nastopa beseda **zavezniških** kot pregibna oblika (MSD: Ppnsdr) besede *zavezniški*.",primeri_uporabe,analiza_oblike_v_povedi,train
511600,odzrcaljati,"Navedi nedoločnik, namenilnik in velelnik za odzrcaljati.","Neosebne in posebne oblike glagola **odzrcaljati**:
- Nedoločnik: **odzrcaljati**
- Namenilnik: **odzrcaljat**
",spreganje,neosebne_oblike,train
4506,overiti,Katere so 3 tipične kolokacije z besedo overiti?,"Izpis 3 kolokacij za besedo **overiti**:
1. overiti podpis
2. overiti pri notarju
3. overiti pogodbo",kolokacije,stevilsko_opredeljene_kolokacije,train
9984,zasmrajati,Kakšnega vida je glagol zasmrajati?,Beseda **zasmrajati** je nedovršni glagol.,besedna_vrsta,vrsta_in_vid_glagola,train
470019,zaleganje,V kakšni obliki je rodilnik množine pri besedi zaleganje?,2. Rodilnik (rodilnik) množine besede **zaleganje** se glasi: **zaleganj**.,sklanjanje,posamezen_sklon,train
4671,petpedikati,Kako se glasi Sedanjik glagola petpedikati?,"Sedanjik glagola **petpedikati**:

| Oseba | Ednina | Dvojina | Množina |
|---|---|---|---|
| 1. oseba | petpedikam | petpedikava | petpedikamo |
| 2. oseba | petpedikaš | petpedikata | petpedikate |
| 3. oseba | petpedika | petpedikata | petpedikajo |",spreganje,spreganje_v_casu,train
36753,ultralevičarski,Katere besedne zveze so pogoste z besedo ultralevičarski?,"Tipične kolokacije z besedo **ultralevičarski**:
- ultralevičarska stranka
- ultralevičarska skupina
- ultralevičarska organizacija",kolokacije,navedi_kolokacije,train
678969,haibach,Navedi vse sklone besede haibach.,"Sklanjatvena tabela za samostalnik **haibach**:

| Sklon | Ednina | Dvojina | Množina |
|---|---|---|---|
| 1. Imenovalnik | haibach | haibacha | haibachi |
| 2. Rodilnik | haibacha | haibachov | haibachov |
| 3. Dajalnik | haibachu | haibachoma | haibachom |
| 4. Tožilnik | haibacha | haibacha | haibache |
| 5. Mestnik | pri haibachu | pri haibachih | pri haibachih |
| 6. Orodnik | s haibachom | s haibachoma | s haibachi |",sklanjanje,celotna_sklanjatev,train
8402,spovedati,Katere besede imajo podoben pomen kot spovedati?,"Sopomenke besede **spovedati** so:
- dati odvezo",sopomenke,navedi_sopomenke,train
6178,preceniti,Spregaj glagol preceniti.,"Spreganje glagola **preceniti**:

### Sedanjik
| Oseba | Ednina | Dvojina | Množina |
|---|---|---|---|
| 1. oseba | precenim | preceniva | precenimo |
| 2. oseba | preceniš | precenita | precenite |
| 3. oseba | preceni | precenita | precenijo |

### Preteklik
| Oseba | Ednina | Dvojina | Množina |
|---|---|---|---|
| 1. oseba | sem precenil / sem precenila | sva precenila / sva precenili | smo precenili / smo precenile |
| 2. oseba | si precenil / si precenila | sta precenila / sta precenili | ste precenili / ste precenile |
| 3. oseba | je precenil / je precenila | sta precenila / sta precenili | so precenili / so precenile |",spreganje,celotno_spreganje,train
79695,polentar,"Razloži oblikoslovno vlogo besede Polentarja v stavku 'V kratkem bomo šli pa od tukaj - v fronto, na Polentarja.'.","V povedi *""V kratkem bomo šli pa od tukaj - v fronto, na Polentarja.""* nastopa beseda **Polentarja** kot pregibna oblika (MSD: Sometd) besede *polentar*.",primeri_uporabe,analiza_oblike_v_povedi,train
574225,thein,Opiši oblikoslovno vlogo besede theinih pri samostalniku thein.,"Oblika **theinih** pri besedi *thein* izraža:
- 5. Mestnik (množine)",sklanjanje,analiza_oblike,train
17146,Elektrin,Kako se stopnjuje beseda Elektrin?,"Stopnjevanje besede **Elektrin**:

| Stopnja | Oblika |
|---|---|
| 1. Osnovnik (Pozitiv) | Elektrin / Elektrinega / Elektrinemu / Elektrinem / Elektrinim / Elektrina / Elektrinih / Elektrinima / Elektrini / Elektrine / Elektrinimi / Elektrino |
| 2. Primernik (Komparativ) | Elektrin |
| 3. Presežnik (Superlativ) | Elektrin |",stopnjevanje,vse_stopnje,train
7618,razpredati,"Ali je razpredati dovršni, nedovršni ali dvovidski glagol?",Beseda **razpredati** je nedovršni glagol.,besedna_vrsta,vrsta_in_vid_glagola,train
456754,slengovsko,Katere besede imajo podoben pomen kot slengovsko?,"Sopomenke besede **slengovsko** so:
- žargonsko",sopomenke,navedi_sopomenke,train
52983,deportiranec,Katere so najbolj znane kolokacije besede deportiranec?,"Tipične kolokacije z besedo **deportiranec**:
- delovni deportiranci
- nekdanji deportiranec
- politični deportiranci
- združenje deportirancev
- begunci in deportiranci
- taboriščniki in deportiranci
- deportiranci v taborišča
- polovica deportirancev
- bivši deportiranci
- interniranci in deportiranci",kolokacije,navedi_kolokacije,train
573760,taviani,"Ali je samostalnik taviani moškega, ženskega ali srednjega spola?",Samostalnik **taviani** je moškega spola.,besedna_vrsta,spol_samostalnika,train
49526,blast,Prikaži pregled sklanjatvenih oblik besede blast.,"Sklanjatvena tabela za samostalnik **blast**:

| Sklon | Ednina | Dvojina | Množina |
|---|---|---|---|
| 1. Imenovalnik | blast | blasta | blasti |
| 2. Rodilnik | blasta | blastov | blastov |
| 3. Dajalnik | blastu | blastoma | blastom |
| 4. Tožilnik | blast | blasta | blaste |
| 5. Mestnik | pri blastu | pri blastih | pri blastih |
| 6. Orodnik | z blastom | z blastoma | z blasti |",sklanjanje,celotna_sklanjatev,train
76787,paraliziranost,Katera beseda v osnovni obliki predstavlja obliko paraliziranosti?,Osnovna oblika (lema) besede **paraliziranosti** je **paraliziranost** (samostalnik).,sklanjanje,osnovna_oblika_leme,train
19249,hruškov,Prikaži uporabo besede hruškov v dejanskih povedih.,"Primeri uporabe besede **hruškov** v povedih:
- *V Pečah je denimo vzdrževal več kot 700 različnih jabolčnih in hruškovih sort.*
- *V hruškovih nasadih je pri glavni sorti viljamovki stanje zelo slabo, saj je pozeblo več kot 80 odstotkov cvetov.*
- *V Kuzmi na Goričkem so zasadili hruškov drevored in obudili navado še iz časa Marije Terezije.*
- *V notranjosti prevladujejo lakirane lesene površine iz hruškovega furnirja v visokem sijaju.*
- *Hodnik je na strani obeh sanitarij oblečen s hruškovim lesom.*",primeri_uporabe,povedi_z_besedo,train
